cultura	regiao	area	prod	rend
CANA	PRSP	6492	378087	58239
CANA	PRSP	3132	194287	62033
CANA	PRSP	4522	270153	59742
CANA	PRSP	12352	616814	49936
CANA	PRSP	1634	82650	50581
CANA	PRSP	113009	7368697	65205
CANA	PRSP	17800	1406200	79000
CANA	PRSP	8707	537361	61716
CANA	PRSP	8308	498646	60020
CANA	PRSP	3303	179617	54380
CANA	PRSP	2700	202500	75000
CANA	PRSP	4600	363400	79000
CANA	PRSP	20492	1129212	55105
CANA	PRSP	4099	281761	68739
CANA	PRSP	10000	730000	73000
CANA	PRSP	21000	1260000	60000
CANA	PRSP	12000	780000	65000
CANA	PRSP	24689	1517844	61479
CANA	PRSP	6990	413864	59208
CANA	PRSP	1	50	50000
CANA	PRSP	916	49464	54000
CANA	PRSP	6072	364320	60000
CANA	PRSP	1	30	30000
CANA	PRSP	17699	1103980	62375
CANA	PRSP	700	49000	70000
CANA	PRSP	463	19446	42000
CANA	PRSP	20	1200	60000
CANA	PRSP	5116	269102	52600
CANA	PRSP	20	1400	70000
CANA	PRSP	2173	117342	54000
CANA	PRSP	20	600	30000
CANA	PRSP	50	3000	60000
CANA	PRSP	169	12286	72698
CANA	PRSP	2468	136604	55350
CANA	PRSP	6500	494000	76000
CANA	PRSP	161231	10856639	67336
CANA	PRSP	106436	6996529	65735
CANA	PRSP	233	10772	46232
CANA	PRSP	2541	155840	61330
CANA	PRSP	1317	63780	48428
CANA	PRSP	5205	425087	81669
CANA	PRSP	7311	591996	80973
CANA	PRSP	14915	920147	61693
CANA	PRSP	446	25947	58177
CANA	PRSP	2353	116335	49441
CANA	PRSP	1773	127406	71859
CANA	PRSP	4140	299821	72421
CANA	PRSP	9044	522318	57753
CANA	PRSP	7654	491727	64244
CANA	PRSP	1033	98570	95421
CANA	PRSP	7457	471107	63176
CANA	PRSP	2701	149733	55436
CANA	PRSP	6473	404439	62481
CANA	PRSP	7567	428405	56615
CANA	PRSP	5163	244934	47440
CANA	PRSP	4374	335178	76630
CANA	PRSP	3707	275875	74420
CANA	PRSP	8638	711993	82426
CANA	PRSP	2391	125119	52329
CANA	PRSP	18153	1482672	81676
CANA	PRSP	532	46710	87801
CANA	PRSP	3934	303823	77230
CANA	PRSP	1839	116100	63132
CANA	PRSP	9375	832594	88810
CANA	PRSP	2473	183445	74179
CANA	PRSP	5564	331714	59618
CANA	PRSP	1557	121395	77967
CANA	PRSP	304	25289	83188
CANA	PRSP	1675	68783	41064
CANA	PRSP	1236	74032	59896
CANA	PRSP	792	42215	53302
CANA	PRSP	7025	486683	69279
CANA	PRSP	1211	68474	56543
CANA	PRSP	1889	99735	52798
CANA	PRSP	909	66444	73096
CANA	PRSP	3006	251197	83565
CANA	PRSP	10	833	83300
CANA	PRSP	2540	190681	75071
CANA	PRSP	7	616	88000
CANA	PRSP	51	3672	72000
CANA	PRSP	595	45661	76741
CANA	PRSP	1887	140732	74580
CANA	PRSP	1250	94791	75833
CANA	PRSP	11	986	89636
CANA	PRSP	25	1500	60000
CANA	PRSP	224	17102	76348
CANA	PRSP	980	74603	76126
CANA	PRSP	10	600	60000
CANA	PRSP	10585	716195	67661
CANA	PRSP	6970	452189	64876
CANA	PRSP	50	4000	80000
CANA	PRSP	50	3000	60000
CANA	PRSP	527	32384	61450
CANA	PRSP	2988	224622	75175
CANA	PRSP	9678	557374	57592
CANA	PRSP	300	16500	55000
CANA	PRSP	400	26000	65000
CANA	PRSP	20	900	45000
CANA	PRSP	20	1600	80000
CANA	PRSP	190	11400	60000
CANA	PRSP	20	800	40000
CANA	PRSP	1516	78832	52000
CANA	PRSP	7212	421342	58422
CANA	PRSP	79670	7056970	88578
CANA	PRSP	2975	267750	90000
CANA	PRSP	243	21870	90000
CANA	PRSP	70	6300	90000
CANA	PRSP	530	47700	90000
CANA	PRSP	2080	187200	90000
CANA	PRSP	52	4680	90000
CANA	PRSP	24815	2242270	90359
CANA	PRSP	520	44200	85000
CANA	PRSP	4500	420000	93333
CANA	PRSP	8455	760950	90000
CANA	PRSP	570	49020	86000
CANA	PRSP	1980	178200	90000
CANA	PRSP	3050	274500	90000
CANA	PRSP	1570	141300	90000
CANA	PRSP	570	51300	90000
CANA	PRSP	240	20400	85000
CANA	PRSP	80	7200	90000
CANA	PRSP	2900	261000	90000
CANA	PRSP	340	30600	90000
CANA	PRSP	40	3600	90000
CANA	PRSP	44550	4022150	90284
CANA	PRSP	3100	294500	95000
CANA	PRSP	14400	1339200	93000
CANA	PRSP	22800	2029200	89000
CANA	PRSP	100	5000	50000
CANA	PRSP	150	14250	95000
CANA	PRSP	4000	340000	85000
CANA	PRSP	6100	440000	72131
CANA	PRSP	600	51000	85000
CANA	PRSP	80	4000	50000
CANA	PRSP	40	2500	62500
CANA	PRSP	4800	350000	72917
CANA	PRSP	300	17000	56667
CANA	PRSP	180	10000	55556
CANA	PRSP	100	5500	55000
CANA	PRSP	1230	84800	68943
CANA	PRSP	50	3000	60000
CANA	PRSP	600	51000	85000
CANA	PRSP	50	2500	50000
CANA	PRSP	60	3000	50000
CANA	PRSP	130	7800	60000
CANA	PRSP	20	1200	60000
CANA	PRSP	10	600	60000
CANA	PRSP	210	10500	50000
CANA	PRSP	50	2700	54000
